video_label,Label,Avg,Stats,Serial
AN_WILTY_EP15_truth1,truth,79.0,"mean=79.0, std=9.9, max=118, min=69, range=49","[ 69  73  77  79  80  80  79  77  76  75  73  72  71  70  70  71  74  78
  81  80  79  81  83  81  78  75  74  75  80  92 107 118]"
AN_WILTY_EP18_lie21,lie,92.3,"mean=92.3, std=7.8, max=106, min=78, range=28","[ 96 100 104 106 103  95  85  78  78  81  84  86  86  87  87  87  88  90
  92  95  96  95  93  92  94  99 103 104]"
AN_WILTY_EP21_lie1,lie,82.0,"mean=82.0, std=6.1, max=90, min=73, range=17",[90 89 88 87 87 85 82 77 74 73 75 77]
AN_WILTY_EP22_lie11,lie,85.7,"mean=85.7, std=5.8, max=93, min=71, range=22","[90 89 88 85 85 89 93 91 85 82 83 86 90 92 93 91 87 84 80 76 72 71 74 79
 84 87 89 89 89 89 89 90]"
AN_WILTY_EP22_lie12,lie,91.4,"mean=91.4, std=7.0, max=105, min=77, range=28","[ 91  94 100 105 105  99  92  87  86  85  84  84  85  87  90  93  91  89
  87  87  88  90  93  96  99 101 102 100  94  86  79  77]"
AN_WILTY_EP22_lie27,lie,80.7,"mean=80.7, std=6.0, max=89, min=72, range=17",[83 77 72 72 78 84 88 89 88 87 83 78 73 72 73 77 81 85 87 87]
AN_WILTY_EP22_lie9,lie,89.6,"mean=89.6, std=5.9, max=100, min=79, range=21","[ 85  82  81  86  95 100 100  96  93  91  89  85  81  79  81  84  87  91
  95  97  96  94  93  93  92  89  88  87]"
AN_WILTY_EP22_truth4,truth,76.0,"mean=76.0, std=7.5, max=95, min=61, range=34","[88 86 81 75 73 75 77 78 78 78 77 76 74 74 74 75 74 74 73 71 68 64 61 62
 65 69 71 73 74 77 82 85 85 85 90 95]"
AN_WILTY_EP23_truth3,truth,83.5,"mean=83.5, std=6.3, max=104, min=75, range=29","[ 77  79  83  89  92  88  81  76  78  84  87  85  82  83  86  88  88  88
  84  78  75  75  75  76  77  80  84  89  90  85  79  78  81  87  96 104]"
AN_WILTY_EP23_truth5,truth,77.6,"mean=77.6, std=5.3, max=86, min=69, range=17","[83 85 85 80 74 71 69 69 70 71 72 73 73 74 74 76 79 83 86 86 85 86 84 81
 78 77 78 78 77 76 76 75]"
